segment;point;x;y;vStop;vFlow;attributes;aSteering;aHeading;label;version
1;0;-5500;500;1000;700;0x00000001;0;0;;
1;1;-5400;500;1000;700;0x00000000;0;0;;
1;2;-5300;500;900;700;0x00000000;0;0;;
1;3;-5200;500;800;700;0x00000000;0;0;;
1;4;-5100;500;700;700;0x00000000;0;0;;
1;5;-5000;500;600;700;0x00000000;0;0;;
1;6;-4900;500;500;700;0x00000000;0;0;;
1;7;-4800;500;400;700;0x00000000;0;0;;
1;8;-4700;500;300;700;0x00000000;0;0;;
1;9;-4600;500;200;700;0x00000000;0;0;;
1;10;-4500;500;100;700;0x00000002;0;0;;
2;0;-4500;500;1000;700;0x00000001;0;0;;
2;1;-4400;500;1000;700;0x00000000;0;0;;
2;2;-4300;500;900;700;0x00000000;0;0;;
2;3;-4200;500;800;700;0x00000000;0;0;;
2;4;-4100;500;700;700;0x00000000;0;0;;
2;5;-4000;500;600;700;0x00000000;0;0;;
2;6;-3900;500;500;700;0x00000000;0;0;;
2;7;-3800;500;400;700;0x00000000;0;0;;
2;8;-3700;500;300;700;0x00000000;0;0;;
2;9;-3600;500;200;700;0x00000000;0;0;;
2;10;-3500;500;100;700;0x00000002;0;0;;
3;0;-2000;500;1000;700;0x00000001;0;0;;
3;1;-1900;500;1000;700;0x00000000;0;0;;
3;2;-1801;500;1000;700;0x00000000;0;0;;
3;3;-1701;500;1000;700;0x00000000;0;0;;
3;4;-1600;500;1000;700;0x00000000;0;0;;
3;5;-1501;500;1000;700;0x00000000;0;0;;
3;6;-1401;500;1000;700;0x00000000;0;0;;
3;7;-1301;500;900;700;0x00000000;0;0;;
3;8;-1201;500;800;700;0x00000000;0;0;;
3;9;-1101;500;700;700;0x00000000;0;0;;
3;10;-1001;500;600;700;0x00000000;0;0;;
3;11;-901;500;500;700;0x00000000;0;0;;
3;12;-802;500;400;700;0x00000000;0;0;;
3;13;-702;500;300;700;0x00000000;0;0;;
3;14;-602;500;200;700;0x00000000;0;0;;
3;15;-500;500;100;700;0x00000002;0;0;;
4;0;-500;500;1000;180;0x40060001;0;0;;
4;1;-400;500;1000;180;0x40060000;0;0;;
4;2;-301;500;1000;180;0x40060000;0;0;;
4;3;-201;500;1000;180;0x40060000;0;0;;
4;4;-100;500;1000;180;0x40060000;0;0;;
4;5;-1;500;1000;180;0x40060000;0;0;;
4;6;99;500;1000;180;0x40060000;0;0;;
4;7;199;500;900;180;0x40060000;0;0;;
4;8;299;500;800;180;0x40060000;0;0;;
4;9;399;500;700;180;0x40060000;0;0;;
4;10;499;500;600;180;0x40060000;0;0;;
4;11;599;500;500;180;0x40060000;0;0;;
4;12;698;500;400;180;0x40060000;0;0;;
4;13;798;500;300;180;0x40060000;0;0;;
4;14;898;500;200;180;0x40060000;0;0;;
4;15;1000;500;100;180;0x40060002;0;0;;
5;0;1000;500;1000;180;0x40060001;0;0;;
5;1;1100;500;1000;180;0x40060000;0;0;;
5;2;1199;500;1000;180;0x40060000;0;0;;
5;3;1299;500;1000;180;0x40060000;0;0;;
5;4;1400;500;1000;180;0x40060000;0;0;;
5;5;1499;500;1000;180;0x40060000;0;0;;
5;6;1599;500;1000;180;0x40060000;0;0;;
5;7;1699;500;900;180;0x40060000;0;0;;
5;8;1799;500;800;180;0x40060000;0;0;;
5;9;1899;500;700;180;0x40060000;0;0;;
5;10;1999;500;600;180;0x40060000;0;0;;
5;11;2099;500;500;180;0x40060000;0;0;;
5;12;2198;500;400;180;0x40060000;0;0;;
5;13;2298;500;300;180;0x40060000;0;0;;
5;14;2398;500;200;180;0x40060000;0;0;;
5;15;2500;500;100;180;0x40060002;0;0;;
6;0;2500;500;600;180;0x40064001;0;9000;;
6;1;2500;599;500;180;0x40060000;0;9000;;
6;2;2500;699;400;180;0x40060000;0;9000;;
6;3;2500;799;300;180;0x40060000;0;9000;;
6;4;2500;899;200;180;0x40060000;0;9000;;
6;5;2500;1000;100;180;0x40060002;0;9000;;
7;0;2500;1000;600;180;0x40060001;0;9000;;
7;1;2500;1099;500;180;0x40060000;0;9000;;
7;2;2500;1199;400;180;0x40060000;0;9000;;
7;3;2500;1299;300;180;0x40060000;0;9000;;
7;4;2500;1399;200;180;0x40060000;0;9000;;
7;5;2500;1500;100;180;0x40060002;0;9000;;
8;0;2500;1500;600;180;0x40060001;0;9000;;
8;1;2500;1599;500;180;0x40060000;0;9000;;
8;2;2500;1699;400;180;0x40060000;0;9000;;
8;3;2500;1799;300;180;0x40060000;0;9000;;
8;4;2500;1899;200;180;0x40060000;0;9000;;
8;5;2500;2000;100;180;0x40060002;0;9000;;
9;0;2500;2000;600;180;0x40060001;0;9000;;
9;1;2500;2099;500;180;0x40060000;0;9000;;
9;2;2500;2199;400;180;0x40060000;0;9000;;
9;3;2500;2299;300;180;0x40060000;0;9000;;
9;4;2500;2399;200;180;0x40060000;0;9000;;
9;5;2500;2500;100;180;0x40060002;0;9000;;
10;0;2500;2500;600;180;0x40060001;0;9000;;
10;1;2500;2599;500;180;0x40060000;0;9000;;
10;2;2500;2699;400;180;0x40060000;0;9000;;
10;3;2500;2799;300;180;0x40060000;0;9000;;
10;4;2500;2899;200;180;0x40060000;0;9000;;
10;5;2500;3000;100;180;0x40060002;0;9000;;
11;0;1000;500;600;180;0x40064001;0;9000;;
11;1;1000;599;500;180;0x40060000;0;9000;;
11;2;1000;699;400;180;0x40060000;0;9000;;
11;3;1000;799;300;180;0x40060000;0;9000;;
11;4;1000;899;200;180;0x40060000;0;9000;;
11;5;1000;1000;100;180;0x40060002;0;9000;;
12;0;1000;1000;600;180;0x40060001;0;9000;;
12;1;1000;1099;500;180;0x40060000;0;9000;;
12;2;1000;1199;400;180;0x40060000;0;9000;;
12;3;1000;1299;300;180;0x40060000;0;9000;;
12;4;1000;1399;200;180;0x40060000;0;9000;;
12;5;1000;1500;100;180;0x40060002;0;9000;;
13;0;1000;1500;600;180;0x40060001;0;9000;;
13;1;1000;1599;500;180;0x40060000;0;9000;;
13;2;1000;1699;400;180;0x40060000;0;9000;;
13;3;1000;1799;300;180;0x40060000;0;9000;;
13;4;1000;1899;200;180;0x40060000;0;9000;;
13;5;1000;2000;100;180;0x40060002;0;9000;;
14;0;1000;2000;600;180;0x40060001;0;9000;;
14;1;1000;2099;500;180;0x40060000;0;9000;;
14;2;1000;2199;400;180;0x40060000;0;9000;;
14;3;1000;2299;300;180;0x40060000;0;9000;;
14;4;1000;2399;200;180;0x40060000;0;9000;;
14;5;1000;2500;100;180;0x40060002;0;9000;;
15;0;1000;2500;600;180;0x40060001;0;9000;;
15;1;1000;2599;500;180;0x40060000;0;9000;;
15;2;1000;2699;400;180;0x40060000;0;9000;;
